DIJUAL SEGERA Tanah dan Bangunan Rumah;4.000.000.000;Luas tanah : 571 m2 ;Luas bangunan : 200 m2 ;Lantai : 1 ( Satu ) ;Kamar tidur : 4;Kamar mandi : 3;Sertifikasi : SHM - Sertifikat Hak Milik
Rumah murah luas di sidokare indah;759.000.000;Luas tanah : 181 m2 ;Luas bangunan : 181 m2 ;Lantai : 1.5 ;Kamar tidur : 3;Kamar mandi : 2;Sertifikasi : SHM - Sertifikat Hak Milik
Rumah Di Cilandak, Belakang CITOS, Jakarta Selatan, Design Modern;4.500.000.000;Luas tanah : 130 m2 ;Luas bangunan : 250 m2 ;Lantai : 3 ;Kamar tidur : 3;Kamar mandi : 3;Sertifikasi : SHM - Sertifikat Hak Milik
Dekat Tol Serpong Perumahan Nusaloka BSD Tangerang Selatan;1.350.000.000;Luas tanah : 120 m2 ;Luas bangunan : 133 m2 ;Lantai : 1.5 ;Kamar tidur : 3;Kamar mandi : 3;Sertifikasi : SHM - Sertifikat Hak Milik
Ready Stock nol jalan bypass Juanda samping Mc D;1.800.000.000;Luas tanah : 150 m2 ;Luas bangunan : 90 m2 ;Lantai : 1 Lantai ;Kamar tidur : 4;Kamar mandi : 2;Sertifikasi : HGB - Hak Guna Bangun
Rumah di jual alamat jl. eka warni II no 11 E;450.000.000;Luas tanah : 138 m2 ;Luas bangunan : 78 m2 ;Lantai : Granit ;Kamar tidur : 2;Kamar mandi : 1;Sertifikasi : SHM - Sertifikat Hak Milik
Lokasi nyaman Harga Nego, Hunian Taman Modern Cakung;1.200.000.000;Luas tanah : 104 m2 ;Luas bangunan : 130 m2 ;Kamar tidur : 3;Kamar mandi : 2;Sertifikasi : SHM - Sertifikat Hak Milik
Dijual rumah -komplek mekar indah cijerah bandung-;1.400.000.000;Luas tanah : 127 m2 ;Luas bangunan : 100 m2 ;Lantai : 2 ;Kamar tidur : 5;Kamar mandi : 3;Sertifikasi : SHM - Sertifikat Hak Milik
Apartemen Paradise Mansion;450.000.000;Luas tanah : 2.471 m2 ;Luas bangunan : 2.471 m2 
JUAL MURAH rumah beserta tanah;200.000.000;Luas tanah : 8 m2 ;Luas bangunan : 8 m2 ;Lantai : Keramik ;Kamar tidur : 2;Kamar mandi : 1;Sertifikasi : SHM - Sertifikat Hak Milik
Di Jual Rumah Komplek Riung Bandung .;950.000.000;Luas tanah : 168 m2 ;Luas bangunan : 114 m2 ;Lantai : 1 ;Kamar tidur : 3;Kamar mandi : 2;Sertifikasi : SHM - Sertifikat Hak Milik
Dijual tanah dan rumah lokasi rmh masuk gang;280.000.000;Luas tanah : 285 m2 ;Luas bangunan : 100 m2 ;Lantai : kramik ;Kamar tidur : 3;Kamar mandi : 1;Sertifikasi : SHM - Sertifikat Hak Milik
Jual rumah minimalis dekat stasiun citayam;190.000.000;Luas tanah : 60 m2 ;Luas bangunan : 50 m2 ;Lantai : 1 ;Kamar tidur : 3;Kamar mandi : 1;Sertifikasi : SHM - Sertifikat Hak Milik
Jual rumah minimalis dekat stasiun citayam;190.000.000;Luas tanah : 60 m2 ;Luas bangunan : 50 m2 ;Lantai : 1 ;Kamar tidur : 3;Kamar mandi : 1;Sertifikasi : SHM - Sertifikat Hak Milik
Rumah Dikontrakan Cepit Bantul;18.000.000;Luas tanah : 405 m2 ;Luas bangunan : 300 m2 ;Lantai : 1 ;Kamar tidur : 2;Kamar mandi : 1;Sertifikasi : SHM - Sertifikat Hak Milik
Hunian Islami Type 27/60 36/72 65/72 Mulai 160Jtan Gratis SHM-Cikarang;160.000.000;Luas tanah : 60 m2 ;Luas bangunan : 27 m2 ;Lantai : 1 ;Kamar tidur : 2;Kamar mandi : 1;Sertifikasi : SHM - Sertifikat Hak Milik
Dijual rumah lokasi purigading bekasi nego;450.000.000;Luas tanah : 55 m2 ;Luas bangunan : 55 m2 ;Lantai : 1 lantai ;Kamar tidur : 2;Kamar mandi : 1;Sertifikasi : Lainnya  (PPJB,Girik,Adat,dll)
